广州_马场_ICSCF3,2018-06-01 00:54:38,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 00:54:52,ZX-MGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:55:08,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:55:38,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:56:08,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:56:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:57:41,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:58:14,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:58:42,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:59:11,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:59:29,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:59:47,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 00:59:58,ZX-MGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:00:14,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:00:31,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:00:59,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 01:01:28,ZX-MGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:01:41,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:01:58,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:02:17,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:03:29,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:03:47,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 01:03:58,ZX-MGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:04:32,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:04:46,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:05:02,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:06:05,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:06:22,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:07:11,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:07:41,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:07:56,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:08:47,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:09:09,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:09:26,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:10:14,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:10:29,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:10:41,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:10:57,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:11:14,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:11:47,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:12:16,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:12:44,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 01:13:16,ZX-MGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:13:33,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:13:50,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 01:14:34,ZX-MGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:14:49,ZX-AGCF,省NOC,3
广州_环市西_MGCF2,2018-06-01 01:15:22,ZX-MGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:15:39,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:15:56,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:16:08,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:17:14,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:18:41,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:19:45,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:20:17,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:20:32,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:20:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:21:38,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:22:11,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:22:26,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:22:56,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:23:28,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:24:17,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:24:33,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:24:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:25:05,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:25:20,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 01:26:07,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:26:24,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:26:55,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:27:26,ZX-CSCF,省NOC,2
广州_马场_MGCF1,2018-06-01 01:28:46,ZX-MGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 01:29:01,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:29:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 01:30:05,ZX-CSCF,省NOC,2
广州_环市西_MGCF2,2018-06-01 01:30:22,ZX-MGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 01:30:38,ZX-CSCF,省NOC,2
